Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (døgn);Høyeste middelvind (døgn)
Sola;SN44560;26.03.2022;11,3;8,8
Sola;SN44560;27.03.2022;7,9;5,8
Sola;SN44560;28.03.2022;15,7;12,5
Sola;SN44560;29.03.2022;12,6;10,4
Sola;SN44560;30.03.2022;10,7;8,4
Sola;SN44560;31.03.2022;8,2;6,9
Sola;SN44560;01.04.2022;9;5
Sola;SN44560;02.04.2022;13,2;10,6
Sola;SN44560;03.04.2022;10,9;8,7
Sola;SN44560;04.04.2022;22,1;17,6
Sola;SN44560;05.04.2022;18,6;14,2
Sola;SN44560;06.04.2022;11,9;9,2
Sola;SN44560;07.04.2022;13,2;10,5
Sola;SN44560;08.04.2022;17,3;13,5
Sola;SN44560;09.04.2022;22,5;15,6
Sola;SN44560;10.04.2022;17,7;13,8
Sola;SN44560;11.04.2022;13,8;9,8
Sola;SN44560;12.04.2022;9,1;7,2
Sola;SN44560;13.04.2022;11,5;8,1
Sola;SN44560;14.04.2022;9;7,1
Sola;SN44560;15.04.2022;7,1;5,7
Sola;SN44560;16.04.2022;7,7;6
Sola;SN44560;17.04.2022;9;7,2
Sola;SN44560;18.04.2022;14,3;10,1
Sola;SN44560;19.04.2022;12;8,5
Sola;SN44560;20.04.2022;5,4;4,6
Sola;SN44560;21.04.2022;10,8;7,5
Sola;SN44560;22.04.2022;11;7,6
Sola;SN44560;23.04.2022;8,5;7,1
Sola;SN44560;24.04.2022;12,2;10,3
Sola;SN44560;25.04.2022;9,8;8,2
Sola;SN44560;26.04.2022;7,8;6,9
Sola;SN44560;27.04.2022;13,5;10,9
Sola;SN44560;28.04.2022;13,5;10,6
Sola;SN44560;29.04.2022;10,3;8,3
Sola;SN44560;30.04.2022;12,8;10,7
Sola;SN44560;01.05.2022;8;6,7
Sola;SN44560;02.05.2022;14,8;11,6
Sola;SN44560;03.05.2022;14,9;11,8
Sola;SN44560;04.05.2022;9,8;7
Sola;SN44560;05.05.2022;9,1;7,3
Sola;SN44560;06.05.2022;11,6;-
Sola;SN44560;07.05.2022;15,6;12,5
Sola;SN44560;08.05.2022;13,8;11
Sola;SN44560;09.05.2022;13,3;10,2
Sola;SN44560;10.05.2022;17;12,4
Sola;SN44560;11.05.2022;14;10,6
Data er gyldig per 11.05.2022 (CC BY 4.0), Meteorologisk institutt (MET);;;;
