Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Sola;SN44560;27.09.2007;14,7
Sola;SN44560;28.09.2007;15
Sola;SN44560;29.09.2007;12,4
Sola;SN44560;30.09.2007;14,4
Sola;SN44560;01.09.2008;22,2
Sola;SN44560;02.09.2008;16,6
Sola;SN44560;03.09.2008;16,3
Sola;SN44560;04.09.2008;16,6
Sola;SN44560;05.09.2008;16,5
Sola;SN44560;06.09.2008;18,5
Sola;SN44560;07.09.2008;18
Sola;SN44560;08.09.2008;19,2
Sola;SN44560;09.09.2008;19,1
Sola;SN44560;10.09.2008;17,3
Sola;SN44560;11.09.2008;20,1
Sola;SN44560;12.09.2008;17,1
Sola;SN44560;13.09.2008;17,1
Sola;SN44560;14.09.2008;16,7
Sola;SN44560;15.09.2008;15,6
Sola;SN44560;16.09.2008;16,2
Sola;SN44560;17.09.2008;14,2
Sola;SN44560;18.09.2008;14,9
Sola;SN44560;19.09.2008;15,3
Sola;SN44560;20.09.2008;16,6
Sola;SN44560;21.09.2008;17,3
Sola;SN44560;22.09.2008;14,2
Sola;SN44560;23.09.2008;16,4
Sola;SN44560;24.09.2008;18
Sola;SN44560;25.09.2008;16,1
Sola;SN44560;26.09.2008;15,3
Sola;SN44560;27.09.2008;14,8
Sola;SN44560;28.09.2008;13,3
Sola;SN44560;29.09.2008;12,9
Sola;SN44560;30.09.2008;12,8
Sola;SN44560;01.09.2009;19
Sola;SN44560;02.09.2009;16,4
Sola;SN44560;03.09.2009;18
Sola;SN44560;04.09.2009;18,2
Sola;SN44560;05.09.2009;16,5
Sola;SN44560;06.09.2009;16,4
Sola;SN44560;07.09.2009;16,7
Sola;SN44560;08.09.2009;18,7
Sola;SN44560;09.09.2009;17,9
Sola;SN44560;10.09.2009;16,2
Sola;SN44560;11.09.2009;15,2
Sola;SN44560;12.09.2009;15
Sola;SN44560;13.09.2009;17,5
Sola;SN44560;14.09.2009;19,4
Sola;SN44560;15.09.2009;18
Sola;SN44560;16.09.2009;14,7
Sola;SN44560;17.09.2009;15
Sola;SN44560;18.09.2009;18
Sola;SN44560;19.09.2009;17,9
Sola;SN44560;20.09.2009;15,2
Sola;SN44560;21.09.2009;15,5
Sola;SN44560;22.09.2009;16,3
Sola;SN44560;23.09.2009;15,2
Sola;SN44560;24.09.2009;15
Sola;SN44560;25.09.2009;15
Sola;SN44560;26.09.2009;15,3
Sola;SN44560;27.09.2009;16,5
Sola;SN44560;28.09.2009;13,7
Sola;SN44560;29.09.2009;10,9
Sola;SN44560;30.09.2009;11,3
Sola;SN44560;01.09.2010;17,4
Sola;SN44560;02.09.2010;16,9
Sola;SN44560;03.09.2010;18,1
Sola;SN44560;04.09.2010;16,7
Sola;SN44560;05.09.2010;18
Sola;SN44560;06.09.2010;18,5
Sola;SN44560;07.09.2010;20,1
Sola;SN44560;08.09.2010;19,3
Sola;SN44560;09.09.2010;20,1
Sola;SN44560;10.09.2010;19,3
Sola;SN44560;11.09.2010;16,2
Sola;SN44560;12.09.2010;15,9
Sola;SN44560;13.09.2010;15
Sola;SN44560;14.09.2010;16,8
Sola;SN44560;15.09.2010;12,9
Sola;SN44560;16.09.2010;13,9
Sola;SN44560;17.09.2010;14,3
Sola;SN44560;18.09.2010;13
Sola;SN44560;19.09.2010;13,6
Sola;SN44560;20.09.2010;10,8
Sola;SN44560;21.09.2010;13,5
Sola;SN44560;22.09.2010;15,4
Sola;SN44560;23.09.2010;16,4
Sola;SN44560;24.09.2010;13,8
Sola;SN44560;25.09.2010;15,3
Sola;SN44560;26.09.2010;15,6
Sola;SN44560;27.09.2010;15,8
Sola;SN44560;28.09.2010;13,4
Sola;SN44560;29.09.2010;14,9
Sola;SN44560;30.09.2010;14,2
Sola;SN44560;01.09.2011;17,4
Sola;SN44560;02.09.2011;15,3
Sola;SN44560;03.09.2011;17,7
Sola;SN44560;04.09.2011;19,1
Sola;SN44560;05.09.2011;18,8
Sola;SN44560;06.09.2011;14,8
Sola;SN44560;07.09.2011;14,6
Sola;SN44560;08.09.2011;15,2
Sola;SN44560;09.09.2011;15,2
Sola;SN44560;10.09.2011;18,2
Sola;SN44560;11.09.2011;18,4
Sola;SN44560;12.09.2011;15,2
Sola;SN44560;13.09.2011;14,7
Sola;SN44560;14.09.2011;14,3
Sola;SN44560;15.09.2011;13,3
Sola;SN44560;16.09.2011;13,9
Sola;SN44560;17.09.2011;14
Sola;SN44560;18.09.2011;15,9
Sola;SN44560;19.09.2011;15,3
Sola;SN44560;20.09.2011;14,8
Sola;SN44560;21.09.2011;14,6
Sola;SN44560;22.09.2011;13,4
Sola;SN44560;23.09.2011;14,5
Sola;SN44560;24.09.2011;16,5
Sola;SN44560;25.09.2011;17,2
Sola;SN44560;26.09.2011;15,4
Sola;SN44560;27.09.2011;15,3
Sola;SN44560;28.09.2011;16,6
Sola;SN44560;29.09.2011;20,5
Sola;SN44560;30.09.2011;21,9
Sola;SN44560;01.09.2012;14,9
Sola;SN44560;02.09.2012;16
Sola;SN44560;03.09.2012;15,9
Sola;SN44560;04.09.2012;16,8
Sola;SN44560;05.09.2012;15,4
Sola;SN44560;06.09.2012;13,3
Sola;SN44560;07.09.2012;14,9
Sola;SN44560;08.09.2012;14,4
Sola;SN44560;09.09.2012;18,9
Sola;SN44560;10.09.2012;18,5
Sola;SN44560;11.09.2012;16
Sola;SN44560;12.09.2012;12,6
Sola;SN44560;13.09.2012;12,8
Sola;SN44560;14.09.2012;14
Sola;SN44560;15.09.2012;14,9
Sola;SN44560;16.09.2012;14,5
Sola;SN44560;17.09.2012;14,9
Sola;SN44560;18.09.2012;13,7
Sola;SN44560;19.09.2012;11,7
Sola;SN44560;20.09.2012;12,1
Sola;SN44560;21.09.2012;12,2
Sola;SN44560;22.09.2012;13,5
Sola;SN44560;23.09.2012;13,1
Sola;SN44560;24.09.2012;13,8
Sola;SN44560;25.09.2012;13,8
Sola;SN44560;26.09.2012;14,5
Sola;SN44560;27.09.2012;12,2
Sola;SN44560;28.09.2012;12,8
Sola;SN44560;29.09.2012;12,8
Sola;SN44560;30.09.2012;12,8
Sola;SN44560;01.09.2013;13,3
Sola;SN44560;02.09.2013;15,1
Sola;SN44560;03.09.2013;16,1
Sola;SN44560;04.09.2013;19,9
Sola;SN44560;05.09.2013;18,9
Sola;SN44560;06.09.2013;22
Sola;SN44560;07.09.2013;21,7
Sola;SN44560;08.09.2013;21,1
Sola;SN44560;09.09.2013;19,3
Sola;SN44560;10.09.2013;16,6
Sola;SN44560;11.09.2013;18,3
Sola;SN44560;12.09.2013;17,6
Sola;SN44560;13.09.2013;17,1
Sola;SN44560;14.09.2013;16,7
Sola;SN44560;15.09.2013;13,9
Sola;SN44560;16.09.2013;13,5
Sola;SN44560;17.09.2013;13,3
Sola;SN44560;18.09.2013;12,8
Sola;SN44560;19.09.2013;14,5
Sola;SN44560;20.09.2013;15,2
Sola;SN44560;21.09.2013;14,8
Sola;SN44560;22.09.2013;15,4
Sola;SN44560;23.09.2013;14,9
Sola;SN44560;24.09.2013;15,1
Sola;SN44560;25.09.2013;13,6
Sola;SN44560;26.09.2013;14,1
Sola;SN44560;27.09.2013;13,4
Sola;SN44560;28.09.2013;14,5
Sola;SN44560;29.09.2013;15,4
Sola;SN44560;30.09.2013;14,2
Sola;SN44560;01.09.2014;17,8
Sola;SN44560;02.09.2014;18
Sola;SN44560;03.09.2014;19,5
Sola;SN44560;04.09.2014;20,5
Sola;SN44560;05.09.2014;19,9
Sola;SN44560;06.09.2014;16,2
Sola;SN44560;07.09.2014;16,6
Sola;SN44560;08.09.2014;16,9
Sola;SN44560;09.09.2014;16,1
Sola;SN44560;10.09.2014;18,4
Sola;SN44560;11.09.2014;19,6
Sola;SN44560;12.09.2014;18,3
Sola;SN44560;13.09.2014;19,7
Sola;SN44560;14.09.2014;18,6
Sola;SN44560;15.09.2014;22,4
Sola;SN44560;16.09.2014;22,5
Sola;SN44560;17.09.2014;21,4
Sola;SN44560;18.09.2014;20,1
Sola;SN44560;19.09.2014;20,7
Sola;SN44560;20.09.2014;18,3
Sola;SN44560;21.09.2014;15,6
Sola;SN44560;22.09.2014;14,6
Sola;SN44560;23.09.2014;12,3
Sola;SN44560;24.09.2014;15,4
Sola;SN44560;25.09.2014;14,4
Sola;SN44560;26.09.2014;15,5
Sola;SN44560;27.09.2014;15,8
Sola;SN44560;28.09.2014;15,4
Sola;SN44560;29.09.2014;17,8
Sola;SN44560;30.09.2014;16,4
Sola;SN44560;01.09.2015;15,9
Sola;SN44560;02.09.2015;17,6
Sola;SN44560;03.09.2015;18,3
Sola;SN44560;04.09.2015;17,7
Sola;SN44560;05.09.2015;15,8
Sola;SN44560;06.09.2015;14,9
Sola;SN44560;07.09.2015;17,4
Sola;SN44560;08.09.2015;17,1
Sola;SN44560;09.09.2015;18,8
Sola;SN44560;10.09.2015;18,9
Sola;SN44560;11.09.2015;20,6
